[2023-04-28 11:27:35.146][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5347340159840159 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:35.210][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5310054528804529 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:35.281][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.4961715367965368 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:35.356][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.45721466033966035 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:35.416][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.45522186147186144 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:35.490][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.437859015984016 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:35.571][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.4260468697968698 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:35.654][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:218] Add  pair<111,97>
[2023-04-28 11:27:35.667][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:259] Add loop pair<111,54>
[2023-04-28 11:27:35.667][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:267] Add new key frame, id:111, matched size:2
[2023-04-28 11:27:35.795][218814][info][APAPProjectThread.cpp:Run:382] process pair<111,97> finished.
[2023-04-28 11:27:35.798][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6599171661671661 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:35.834][218812][debug][GetImageThread.cpp:PushData:147] Load 10 images, time elapsed:0.108534s
[2023-04-28 11:27:35.860][218814][info][APAPProjectThread.cpp:Run:382] process pair<111,54> finished.
[2023-04-28 11:27:35.882][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6575382950382951 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:35.935][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6461913086913087 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:35.995][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6363438644688645 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:36.065][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6185543623043623 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:36.146][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5977335164835165 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:36.235][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5687406343656344 > dOverlapRatioWithLastKF0,ignore this frame
